TransMorph_ssim_1_diffusion_1
,SSIM,det
p542,0.8821098208427429,0.0060882568359375
p543,0.880990743637085,0.0142364501953125
p544,0.9026610851287842,0.0103607177734375
p545,0.913836658000946,0.0055389404296875
p546,0.9033716917037964,0.01092529296875
p547,0.9096657037734985,0.0079345703125
p548,0.8853977918624878,0.0068359375
p549,0.8848094940185547,0.008544921875
p550,0.89406818151474,0.0093841552734375
p551,0.8865197896957397,0.0075531005859375
p552,0.898323118686676,0.012298583984375
p553,0.8959985375404358,0.0094757080078125
p554,0.9020172357559204,0.0115203857421875
p555,0.890651524066925,0.009765625
p556,0.9112597107887268,0.008270263671875
p557,0.9136967062950134,0.0066986083984375
p558,0.9041352272033691,0.0095977783203125
p559,0.9035848379135132,0.0043182373046875
p560,0.9123415946960449,0.0122528076171875
p561,0.9107537865638733,0.0070953369140625
p562,0.9190987348556519,0.01141357421875
p563,0.9183975458145142,0.0067596435546875
p564,0.8961047530174255,0.016510009765625
p565,0.8911385536193848,0.005035400390625
p566,0.9101734757423401,0.009765625
p567,0.9103193879127502,0.01092529296875
p568,0.9183605313301086,0.0109100341796875
p569,0.9139167070388794,0.004638671875
p570,0.9126362800598145,0.011138916015625
p571,0.9117022752761841,0.008514404296875
p572,0.9141170382499695,0.0092926025390625
p573,0.9119495153427124,0.0042877197265625
p574,0.8957718014717102,0.0111236572265625
p575,0.8966627717018127,0.00567626953125
p576,0.9068865180015564,0.00799560546875
p577,0.9126337170600891,0.010406494140625
p578,0.8948739767074585,0.012115478515625
p579,0.8986380696296692,0.0080413818359375
p580,0.889237105846405,0.0054473876953125
p581,0.8943839073181152,0.01409912109375
p582,0.9003279209136963,0.0073394775390625
p583,0.9038528800010681,0.0078887939453125
p584,0.9063281416893005,0.011871337890625
p585,0.903218150138855,0.0042724609375
